Item #,RZ1(AUD)
:0483834,401.74
:0483835,581.94
:0483837,560.74
:0483838,465.34
:0483839,465.34
:0483840,391.14
:0483841,316.94
:0483842,401.74
:0483843,560.74
:0483845,391.14
:0483846,560.74
:0483847,465.34
:0483849,422.94
:0483850,401.74
:0483851,528.94
:0483852,560.74
:0483853,401.74
:0483854,391.14
:0483856,422.94
:0483857,560.74
:0483858,581.94
:0483859,465.34
:0483860,465.34
:0483862,316.94
:0483863,391.14
:0483864,465.34
:0483865,316.94
:0483866,465.34
:0483867,528.94
:0483870,316.94
:0483871,581.94
:0483872,581.94
:0483873,391.14
:0483874,528.94
:0483875,391.14
:0483876,581.94
:0483877,316.94
:0483878,465.34
:0483880,465.34
:0483881,391.14
:0483882,528.94
:0483883,581.94
:0483884,316.94
:0483885,528.94
:0483886,528.94
:0483888,391.14
:0483889,30.74
:0483890,30.74
:0483891,31.8
:0483892,62.54
:0483893,22.26
:0483894,11.97
:0483895,22.26
:0483896,31.8
:0483897,22.26
:0483899,31.8
:0483900,30.74
:0483901,31.8
:0483902,22.26
:0483903,22.26
:0483905,30.74
:0483906,30.74
:0483907,62.54
:0483908,62.54
:0483909,62.54
:0483910,62.54
:0483911,62.54
:0483912,30.74
:0483913,31.8
:0483914,31.8
:0483915,30.74
:0483917,30.74
:0483918,22.26
:0483919,31.8
:0483920,62.54
:0483921,62.54
:0483922,30.74
:0483923,30.74
:0483924,22.26
:0483925,62.54
:0483926,31.8
:0483927,30.74
:0483929,30.74
:0483930,30.74
:0483931,30.74
:0483932,30.74
:0482383,687.94
:0482384,507.74
:0482385,687.94
:0482386,507.74
:0482387,507.74
:0482388,687.94
:0482390,634.94
:0482148,200.34
:0482149,200.34
:0482151,200.34
:0482152,200.34
:0482153,200.34
:0482154,200.34
:0482162,263.94
:0482163,189.74
:0482164,242.74
:0482165,316.94
:0482166,285.14
:0482167,242.74
:0482168,132.5
:0482169,132.5
:0482170,157.94
:0482173,157.94
:0482174,157.94
:0482175,221.54
:0482176,189.74
:0482177,189.74
:0482178,285.14
:0482179,242.74
:0482180,285.14
:0482181,189.74
:0482182,316.94
:0482184,242.74
:0482185,132.5
:0482187,132.5
:0482188,157.94
:0482189,221.54
:0482190,157.94
:0482191,132.5
:0482192,242.74
:0482193,189.74
:0482194,285.14
:0482196,263.94
:0482197,316.94
:0482198,221.54
:0482199,157.94
:0482200,132.5
:0482202,316.94
:0482203,189.74
:0482204,157.94
:0482205,263.94
:0482207,221.54
:0482208,189.74
:0482209,132.5
:0482210,263.94
:0482212,316.94
:0482214,157.94
:0482215,316.94
:0482216,263.94
:0482217,189.74
:0482218,132.5
:0482219,221.54
:0482220,263.94
:0482222,157.94
:0482223,132.5
:0482224,221.54
:0482226,189.74
:0482227,157.94
:0482228,316.94
:0482229,242.74
:0482230,189.74
:0482231,132.5
:0482232,221.54
:0482233,263.94
:0482234,263.94
:0482235,316.94
:0482236,316.94
:0482238,242.74
:0482239,242.74
:0482240,285.14
:0482241,285.14
:0482242,221.54
:0482243,221.54
:0482244,263.94
:0482245,263.94
:0482246,316.94
:0482247,285.14
:0482248,242.74
:0482250,285.14
:0482251,285.14
:0482252,285.14
:0482253,221.54
:0482688,518.34
:0482691,518.34
:0482693,518.34
:0482391,634.94
:0482392,634.94
:0482393,634.94
:0482394,634.94
:0482395,634.94
:0482396,719.74
:0482397,719.74
:0482398,719.74
:0482399,687.94
:0482400,507.74
:0482401,507.74
